date,EURUSD,GBPUSD,NZDUSD,USDCAD,AUDUSD
2020-08-20,1.18599,1.3214,0.65353,1.31874,0.71921
2020-08-21,1.17964,1.30897,0.65405,1.31765,0.71601
2020-08-24,1.17882,1.30635,0.65267,1.3217,0.71618
2020-08-25,1.18342,1.31511,0.65477,1.31726,0.71947
2020-08-26,1.18312,1.32098,0.66214,1.3145,0.72335
2020-08-27,1.18219,1.32013,0.66393,1.31284,0.72596
2020-08-28,1.19048,1.33515,0.67427,1.30983,0.73659
2020-08-31,1.19361,1.33688,0.67334,1.30475,0.73754
2020-09-01,1.19117,1.33839,0.67585,1.3066,0.73727
2020-09-02,1.18553,1.33516,0.67712,1.30459,0.73383
2020-09-03,1.18515,1.32808,0.67119,1.31271,0.72732
2020-09-04,1.18379,1.32806,0.67214,1.30624,0.72815
2020-09-07,1.18137,1.31665,0.6693,1.30967,0.72769
2020-09-08,1.17741,1.29818,0.66192,1.3237,0.72142
2020-09-09,1.18032,1.30009,0.66842,1.31464,0.72831
2020-09-10,1.18143,1.28068,0.66515,1.31924,0.72579
2020-09-11,1.18467,1.27957,0.66676,1.31783,0.72846
2020-09-14,1.18639,1.28472,0.67004,1.31745,0.72888
2020-09-15,1.18464,1.28893,0.67135,1.31865,0.73013
2020-09-16,1.18166,1.29672,0.67329,1.31776,0.73052
2020-09-17,1.18476,1.29728,0.67555,1.31655,0.73122
2020-09-18,1.18401,1.29176,0.67594,1.32045,0.72896
2020-09-21,1.1771,1.28156,0.66671,1.33049,0.7222
2020-09-22,1.17078,1.27336,0.66344,1.33038,0.71684
2020-09-23,1.16604,1.27267,0.65489,1.33869,0.70734
2020-09-24,1.16705,1.27445,0.65487,1.3362,0.70464
2020-09-25,1.16306,1.27456,0.65459,1.3386,0.703
2020-09-28,1.16651,1.28314,0.65529,1.33709,0.7072
2020-09-29,1.17437,1.28585,0.65926,1.33905,0.71323
2020-09-30,1.17214,1.29243,0.66183,1.3322,0.71626
2020-10-01,1.17453,1.28876,0.66502,1.32891,0.71823
2020-10-02,1.17164,1.29361,0.66367,1.33076,0.71604
2020-10-05,1.17842,1.29818,0.66433,1.32562,0.71811
2020-10-06,1.17341,1.28755,0.659,1.33144,0.71016
2020-10-07,1.17642,1.29197,0.6581,1.32562,0.71392
2020-10-08,1.1759,1.29367,0.65826,1.31965,0.71684
2020-10-09,1.18302,1.30462,0.66705,1.31176,0.72437
2020-10-12,1.18117,1.30673,0.66469,1.3113,0.72097
2020-10-13,1.17448,1.29357,0.66492,1.31393,0.7161
2020-10-14,1.17459,1.30109,0.66575,1.31513,0.71623
2020-10-15,1.17072,1.2904,0.65975,1.32256,0.70934
2020-10-16,1.17168,1.29187,0.66046,1.31937,0.70801
2020-10-19,1.17703,1.2944,0.66059,1.31916,0.7068
2020-10-20,1.18219,1.29487,0.65798,1.31298,0.7048
2020-10-21,1.18595,1.31473,0.66549,1.31456,0.71171
2020-10-22,1.18187,1.30836,0.66761,1.31374,0.71173
2020-10-23,1.18609,1.30477,0.66896,1.31247,0.71408
2020-10-26,1.1809,1.30238,0.66785,1.32132,0.7123
2020-10-27,1.17948,1.30462,0.6708,1.3186,0.71284
2020-10-28,1.17457,1.29825,0.66385,1.33222,0.70464
2020-10-29,1.1673,1.29303,0.66285,1.33258,0.70283
2020-10-30,1.16466,1.29515,0.66135,1.33205,0.70273
2020-11-02,1.16411,1.29178,0.66321,1.32171,0.70554
2020-11-03,1.1717,1.30634,0.66851,1.3146,0.71645
2020-11-04,1.17236,1.29892,0.66944,1.31353,0.71773
2020-11-05,1.18288,1.31478,0.67703,1.30453,0.72821
2020-11-06,1.18787,1.31527,0.67675,1.30433,0.72587
2020-11-09,1.18133,1.31655,0.68207,1.30071,0.72821
2020-11-10,1.18158,1.32719,0.68319,1.3031,0.7286
2020-11-11,1.17783,1.32234,0.68825,1.30632,0.72799
2020-11-12,1.18055,1.31151,0.6841,1.31421,0.72324
2020-11-13,1.18333,1.31983,0.68435,1.3139,0.72694
2020-11-16,1.18536,1.32016,0.69046,1.30736,0.73194
2020-11-17,1.18608,1.32482,0.68919,1.31063,0.73003
2020-11-18,1.1853,1.32691,0.6926,1.30826,0.73045
2020-11-19,1.18749,1.32613,0.69176,1.30733,0.72834
2020-11-20,1.18572,1.32758,0.69294,1.30956,0.73031
2020-11-23,1.18409,1.33226,0.69235,1.30847,0.72867
2020-11-24,1.18919,1.33622,0.69778,1.2998,0.73604
2020-11-25,1.19151,1.33851,0.70062,1.30068,0.73637
2020-11-26,1.19138,1.33578,0.70056,1.30168,0.73633
2020-11-27,1.19638,1.33123,0.7027,1.29894,0.73877
2020-11-30,1.19269,1.3325,0.70161,1.30079,0.7344
2020-12-01,1.20704,1.3419,0.70632,1.29362,0.73713
2020-12-02,1.21157,1.33659,0.70692,1.29176,0.74158
2020-12-03,1.21472,1.3453,0.70757,1.28622,0.74398
2020-12-04,1.21224,1.34406,0.70423,1.27847,0.74267
2020-12-07,1.21091,1.33838,0.70424,1.27977,0.74212
2020-12-08,1.21037,1.33557,0.70434,1.28198,0.74098
2020-12-09,1.20812,1.3404,0.70222,1.28182,0.74433
2020-12-10,1.2139,1.32972,0.70969,1.27393,0.75354
2020-12-11,1.21118,1.32211,0.70844,1.27776,0.75379
2020-12-14,1.21438,1.33317,0.7082,1.27635,0.75351
2020-12-15,1.21507,1.34621,0.70884,1.26984,0.75595
2020-12-16,1.21999,1.35097,0.71118,1.27413,0.75763
2020-12-17,1.22705,1.35864,0.71505,1.27202,0.76246
2020-12-18,1.22588,1.35207,0.71329,1.27891,0.76222
2020-12-21,1.22447,1.34667,0.71014,1.2857,0.75853
2020-12-22,1.21632,1.33618,0.70411,1.29083,0.75223
2020-12-23,1.21876,1.34974,0.70973,1.28461,0.75758
2020-12-24,1.21847,1.35625,0.7102,1.28625,0.75981
2020-12-25,1.21933,1.35662,0.71161,1.2863,0.76057
2020-12-28,1.22154,1.34548,0.71033,1.285,0.75791
