date,EURUSD,GBPUSD,NZDUSD,CADUSD,AUDUSD
2021-07-19 00:00:00,1.18021,1.37504,0.69812,0.79146,0.73784
2021-07-19 01:00:00,1.18019,1.37538,0.69838,0.7916,0.73798
2021-07-19 02:00:00,1.18035,1.37486,0.69776,0.79108,0.73768
2021-07-19 03:00:00,1.18046,1.37564,0.69918,0.79121,0.7387
2021-07-19 04:00:00,1.18064,1.37554,0.69918,0.79106,0.73854
2021-07-19 05:00:00,1.18025,1.37536,0.69922,0.7908,0.73809
2021-07-19 06:00:00,1.17973,1.37474,0.69908,0.78992,0.73793
2021-07-19 07:00:00,1.1781,1.37227,0.69772,0.78761,0.73674
2021-07-19 08:00:00,1.17731,1.3712,0.69669,0.78537,0.73572
2021-07-19 09:00:00,1.17793,1.37433,0.69718,0.78399,0.73659
2021-07-19 10:00:00,1.17763,1.37068,0.69502,0.78223,0.73534
2021-07-19 11:00:00,1.17714,1.37156,0.69429,0.7828,0.73455
2021-07-19 12:00:00,1.1787,1.37036,0.69424,0.78455,0.73482
2021-07-19 13:00:00,1.1821,1.3716,0.69488,0.78433,0.73478
2021-07-19 14:00:00,1.18056,1.36715,0.69338,0.78268,0.73338
2021-07-19 15:00:00,1.18057,1.369,0.69449,0.78414,0.73436
2021-07-19 16:00:00,1.17992,1.36702,0.69344,0.78296,0.73309
2021-07-19 17:00:00,1.17947,1.36682,0.69324,0.7837,0.73276
2021-07-19 18:00:00,1.17916,1.3659,0.69286,0.78379,0.73284
2021-07-19 19:00:00,1.17976,1.36687,0.69321,0.7845,0.7337
2021-07-19 20:00:00,1.17988,1.36736,0.69432,0.78446,0.73454
2021-07-19 21:00:00,1.17974,1.36754,0.69448,0.78433,0.7345
2021-07-19 22:00:00,1.17941,1.36694,0.69331,0.78417,0.7338
2021-07-19 23:00:00,1.17919,1.36688,0.69284,0.7843,0.73372
2021-07-20 00:00:00,1.1795,1.36692,0.69276,0.78461,0.73389
2021-07-20 01:00:00,1.17975,1.368,0.694,0.78509,0.73458
2021-07-20 02:00:00,1.17947,1.36788,0.69376,0.78477,0.734
2021-07-20 03:00:00,1.17934,1.3671,0.69271,0.78406,0.7324
2021-07-20 04:00:00,1.17888,1.36708,0.69036,0.7838,0.73241
2021-07-20 05:00:00,1.17845,1.36634,0.69036,0.78307,0.7323
2021-07-20 06:00:00,1.17785,1.36317,0.68972,0.78279,0.73182
2021-07-20 07:00:00,1.17838,1.36376,0.68989,0.78251,0.73156
2021-07-20 08:00:00,1.17877,1.36652,0.6912,0.78413,0.7327
2021-07-20 09:00:00,1.18,1.36494,0.69059,0.78428,0.7325
2021-07-20 10:00:00,1.17821,1.36192,0.69019,0.78362,0.73194
2021-07-20 11:00:00,1.1788,1.36238,0.69141,0.78433,0.73304
2021-07-20 12:00:00,1.17726,1.35939,0.68996,0.78293,0.73182
2021-07-20 13:00:00,1.17667,1.36138,0.69069,0.78386,0.73259
2021-07-20 14:00:00,1.17644,1.36104,0.69026,0.78484,0.73191
2021-07-20 15:00:00,1.17746,1.36138,0.69125,0.78589,0.7325
2021-07-20 16:00:00,1.17776,1.36294,0.69178,0.78678,0.73288
2021-07-20 17:00:00,1.17789,1.36166,0.6914,0.78632,0.73252
2021-07-20 18:00:00,1.1782,1.36253,0.69222,0.78767,0.733
2021-07-20 19:00:00,1.17824,1.363,0.69185,0.78879,0.73308
2021-07-20 20:00:00,1.17808,1.36278,0.69167,0.78861,0.73296
2021-07-20 21:00:00,1.17813,1.36294,0.69185,0.78878,0.73302
2021-07-20 22:00:00,1.17827,1.36292,0.69166,0.78868,0.73326
2021-07-20 23:00:00,1.17812,1.36346,0.69226,0.78891,0.73388
2021-07-21 00:00:00,1.17798,1.36348,0.69314,0.78844,0.73354
2021-07-21 01:00:00,1.17756,1.36225,0.69198,0.78785,0.73206
2021-07-21 02:00:00,1.17725,1.36108,0.69079,0.7866,0.7304
2021-07-21 03:00:00,1.1775,1.3619,0.69128,0.7873,0.73134
2021-07-21 04:00:00,1.17724,1.36146,0.69111,0.78698,0.73056
2021-07-21 05:00:00,1.17671,1.36048,0.6901,0.78639,0.72978
2021-07-21 06:00:00,1.17634,1.36159,0.6906,0.78634,0.73004
2021-07-21 07:00:00,1.17614,1.36092,0.691,0.78737,0.73042
2021-07-21 08:00:00,1.17795,1.36284,0.69264,0.78898,0.73196
2021-07-21 09:00:00,1.17735,1.36358,0.69243,0.78835,0.73136
2021-07-21 10:00:00,1.1772,1.36068,0.69222,0.78844,0.73154
2021-07-21 11:00:00,1.17706,1.36212,0.69216,0.78744,0.73148
2021-07-21 12:00:00,1.17662,1.36362,0.69262,0.78955,0.73196
2021-07-21 13:00:00,1.17872,1.36779,0.69456,0.79152,0.73367
